Language,Text
Vietnamese,"chỉnh vốn đều tăng so với cùng kỳ với các mức tăng tương ứng 46,9% và 35%. Vốn thực hiện ước đạt 10,84 tỷ USD,"
Vietnamese,"tăng 8,2% so với cùng kỳ năm 2023. Sự gia tăng cả dòng vốn FDI"
Vietnamese,đăng ký và thực hiện sẽ thúc đẩy hơn nữa các hoạt động trong nước. Đáng chú
Vietnamese,ý là sự cải thiện đáng kể về chất lượng
Vietnamese,"các dự án đầu tư. Nhiều dự án lớn ở các lĩnh vực bán dẫn, năng lượng (sản xuất pin, tế bào quang"
Vietnamese,"điện, thanh silic), sản xuất linh kiện, sản phẩm điện tử, sản phẩm nhiều giá"
Vietnamese,"trị gia tăng được đầu tư mới và mở rộng vốn trong 6 tháng đầu năm. Cùng với đó, vốn FDI tập trung nhiều"
Vietnamese,"vào các tỉnh, thành phố có lợi thế trong thu hút ĐTNN như cơ sở hạ tầng tốt, nguồn nhân lực"
Vietnamese,"ổn định, nỗ lực cải cách thủ tục hành chính và năng động trong công tác xúc tiến đầu"
Vietnamese,"Công điện gửi Bộ trưởng các Bộ: Y tế, Giáo dục và Đào tạo,"
Vietnamese,Thông tin và Truyền thông; Tổng Giám đốc: Đài Truyền hình
Vietnamese,"Việt Nam, Đài Tiếng nói Việt Nam, Thông tấn xã Việt Nam; Chủ tịch Ủy ban nhân dân các tỉnh, thành phố trực thuộc Trung"
Vietnamese,"ương. Công điện nêu: Bạch hầu là bệnh truyền nhiễm cấp tính nguy hiểm, lây lan qua đường hô hấp, có thể"
Vietnamese,"dẫn đến tử vong. Bệnh được phòng bằng vắc xin, điều trị khỏi nếu được phát hiện kịp thời. Thời gian"
Vietnamese,"qua đã phát hiện một số trường hợp mắc bệnh, trong đó đã có trường hợp tử vong. Nhằm chủ động"
Vietnamese,"kiểm soát, ngăn chặn, không để lây lan, bùng phát"
Vietnamese,"bệnh bạch hầu, Thủ tướng Chính phủ yêu cầu: 1. Bộ trưởng Bộ Y tế chỉ đạo, hướng dẫn: a) Triển khai"
Vietnamese,"các biện pháp phòng, chống bệnh bạch hầu; chủ động công tác giám sát phát hiện,"
Vietnamese,"xử lý sớm ổ dịch; tổ chức tiêm chủng vắc xin, điều trị để"
Vietnamese,"bảo vệ tốt nhất sức khoẻ, tính mạng của người bệnh; b) Tổ chức tập huấn, đào tạo nâng cao năng"
Vietnamese,"lực trong giám sát, chẩn đoán, điều trị bệnh bạch hầu. 2. Bộ"
Vietnamese,trưởng Bộ Giáo dục và Đào tạo chỉ đạo các cơ sở giáo dục triển khai các hoạt động vệ sinh
Vietnamese,"phòng bệnh, bảo đảm môi trường thông thoáng, sạch sẽ; tổ chức theo dõi sức khoẻ của trẻ em, học sinh, sinh"
Vietnamese,viên và thông báo ngay cho các cơ sở y tế khi phát hiện trường
Vietnamese,"hợp nghi ngờ mắc bệnh để được cách ly, xử lý kịp thời. 3. Chủ tịch Uỷ"
Vietnamese,"ban nhân dân các tỉnh, thành phố trực thuộc Trung ương chỉ đạo: a) Tuyên"
Vietnamese,"truyền, vận động người dân thực hiện các biện pháp phòng, chống bệnh bạch hầu"
Vietnamese,"Cùng tham dự cuộc tiếp xúc cử tri có các đại biểu Quốc hội: Ông Lê Quang Mạnh, Ủy viên Trung ương Đảng, Chủ"
Vietnamese,"nhiệm Ủy ban Tài chính–Ngân sách của Quốc hội; ông Nguyễn Mạnh Hùng, Ủy viên Thường trực Ủy ban Kinh tế của Quốc"
Vietnamese,"hội; Thiếu tướng Nguyễn Văn Thuận, Giám đốc Công an TP. Cần Thơ, Trưởng"
Vietnamese,Đoàn Đại biểu Quốc hội TP. Cần Thơ; ông Đào Chí
Vietnamese,"Nghĩa, Phó Trưởng đoàn Đoàn đại biểu Quốc hội TP. Cần Thơ; ông Nguyễn Thanh Phương, Chủ tịch Hội đồng Trường Đại học Cần"
Vietnamese,"Thơ; lãnh đạo các bộ, ngành, cơ quan Trung ương và địa phương cùng hơn 200 cử tri đại"
Vietnamese,"diện cử tri quận Thốt Nốt, các vị chức sắc, chức việc các tôn giáo trên địa bàn quận Thốt Nốt. Tại cuộc tiếp"
Vietnamese,"xúc, Đoàn đại biểu Quốc hội TP. Cần Thơ thông báo kết quả Kỳ họp thứ bảy, Quốc hội khóa XV, một số"
Vietnamese,"khẳng định quyết tâm của Đảng, Nhà nước và nhân dân Việt Nam trong"
Vietnamese,"việc không ngừng củng cố và phát triển mối quan hệ hữu nghị vĩ đại, đoàn kết đặc biệt và hợp tác toàn diện"
Vietnamese,"Việt Nam - Lào và quan hệ láng giềng tốt đẹp, hữu nghị truyền thống, hợp tác toàn"
Vietnamese,"diện, bền vững lâu dài Việt Nam - Campuchia. Chuyến thăm cũng góp phần thắt chặt quan hệ cá nhân gắn bó"
Vietnamese,giữa Chủ tịch nước Tô Lâm với các đồng chí lãnh đạo cấp cao của Lào và Campuchia. Chuyến thăm cũng là kết
Vietnamese,"quả triển khai các thỏa thuận cấp cao, nhất là kết"
Vietnamese,quả của cuộc gặp Cấp cao giữa Đảng Cộng sản Việt Nam với Đảng Nhân dân Cách
Vietnamese,mạng Lào và với Đảng Nhân dân Campuchia (CPP). Kết quả toàn diện của chuyến thăm sẽ đặt dấu mốc cho giai
Vietnamese,"đoạn phát triển mới, gắn bó, hiệu quả và đoàn kết hơn giữa Việt Nam với Lào và"
Vietnamese,"Campuchia, cũng như giữa ba nước. Trong vòng chưa đầy ba ngày thăm Lào"
Vietnamese,"và Campuchia, Chủ tịch nước Tô Lâm đã có chương trình hoạt động dày đặc với 32 hoạt động với các cuộc"
Vietnamese,"hội đàm, hội kiến, tiếp xúc, gặp gỡ với tất cả lãnh đạo cấp"
Vietnamese,"cao hai nước, thăm các cơ sở kinh tế, gặp, nói chuyện với học sinh,"
Vietnamese,"sinh viên, cộng đồng bà con kiều bào tại hai nước. Nhân dịp này, lãnh đạo các ban,"
Vietnamese,"bộ, ngành cũng đã có các cuộc làm việc với các đối tác của Lào"
Vietnamese,và Campuchia để trao đổi các nội dung hợp tác cụ thể.
Vietnamese,"Lào và Campuchia đón tiếp Chủ tịch nước và Đoàn rất chu đáo, trọng thị, ở mức cao"
Vietnamese,nhất dành cho Nguyên thủ quốc gia nước ngoài đến thăm với những cử chỉ hết sức đặc biệt và sự chào
Vietnamese,đón của hàng nghìn người dân Lào và Campuchia. hai bên tiếp tục khẳng định quyết tâm cao trong việc không ngừng
Vietnamese,"phát triển mối quan hệ hữu nghị vĩ đại, đoàn kết đặc biệt và hợp tác toàn diện Việt Nam"
Vietnamese,"quy hoạch, khu vực ĐBSCL có 6 tuyến cao tốc/1.188 km, gồm 3 tuyến cao tốc trục dọc (597 km)"
Vietnamese,"và 3 tuyến cao tốc trục ngang (591 km). Đến nay, toàn vùng đã đưa vào khai thác 120"
Vietnamese,"km. Trong đó, dự án cao tốc Châu Đốc-Cần Thơ-Sóc Trăng dài 188,2 km (bố trí 18 nút giao, trung bình"
Vietnamese,"10km/nút, 133 cầu dài gần 28km); quy mô phân kỳ 4 làn xe, sơ bộ tổng mức đầu tư 44.691 tỷ đồng; tiến"
Vietnamese,"độ dự án cơ bản hoàn thành năm 2026, đưa vào khai thác năm 2027. Dự"
Vietnamese,"án được chia thành 4 dự án thành phần và giao UBND các tỉnh An Giang, Hậu Giang, Sóc Trăng và TP. Cần"
Vietnamese,Thơ là cơ quan chủ quản. Dự án được áp dụng một số cơ
Vietnamese,"chế đặc thù, gồm cơ chế chỉ định thầu, cơ chế khai"
Vietnamese,thác khoáng sản làm vật liệu xây dựng. Công tác thu
Vietnamese,"hồi đất đã cơ bản hoàn thành (đạt 99%), chỉ còn khoảng 1% tập trung tại 86 hộ dân và"
Vietnamese,"công trình hạ tầng kỹ thuật, đặc biệt là 15 vị trí đường điện cao thế. Về nguyên vật liệu, tổng nhu cầu cát đắp"
Vietnamese,"nền cho dự án khoảng 29 triệu m3. Với sự vào cuộc chỉ đạo quyết liệt của Thủ tướng Chính phủ, Phó"
Vietnamese,"Thủ tướng Trần Hồng Hà, đến nay đã cơ bản giải quyết đủ nguồn cung vật liệu cát về trữ"
Vietnamese,"lượng. Tuy nhiên, công suất khai thác còn thấp (chỉ đáp ứng khoảng 30% nhu cầu) nên cần nâng công suất. Về công tác"
Vietnamese,"thi công, giải ngân, dự án khởi công 4/14 gói thầu xây lắp đầu tiên"
Vietnamese,"từ tháng 6/2023. Đến tháng 12/2023, các địa phương đã khởi công toàn bộ 14/14 gói thầu."
Vietnamese,"Lũy kế sản lượng thi công toàn dự án đạt khoảng 9,3% giá trị hợp"
Vietnamese,"đồng; trong đó, An Giang đạt 20,5%, Hậu Giang đạt 11,9%, Cần Thơ đạt 5,0%, Sóc Trăng đạt 2,3%. Để đáp ứng yêu cầu"
Vietnamese,hoàn thành dự án năm 2026 theo yêu cầu của
Vietnamese,"Quốc hội và Chính phủ, Bộ Giao thông vận tải đề nghị các"
Vietnamese,"địa phương rà soát, khẩn trương điều chỉnh tiến độ thực hiện của từng"
Vietnamese,"dự án, từng gói thầu nhằm bù đắp phần chậm; trong đó lưu ý xác định cụ thể các"
Vietnamese,"tư. Trong đó có Bắc Ninh, Bà Rịa - Vũng Tàu, Quảng Ninh, Hà Nội, Hải Phòng, Thành phố Hồ Chí Minh, Đồng Nai,...."
Vietnamese,Đối tác đầu tư chủ yếu là các đối tác truyền thống của Việt Nam thuộc châu
Vietnamese,"Á như Singapore, Nhật Bản, Hồng Kông (Trung Quốc), Hàn Quốc, Trung Quốc… Theo Bộ"
Vietnamese,"KH&ĐT, kinh tế thế giới năm 2024 được dự báo sẽ phục hồi yếu và đối mặt với nhiều rủi ro, thách"
Vietnamese,thức lớn do những diễn biến phức tạp sau thời kì dịch
Vietnamese,"COVID-19, bất ổn địa chính trị và cạnh tranh giữa các nước lớn tiếp tục"
Vietnamese,tạo ra những thay đổi và tác động đến nền kinh
Vietnamese,tế toàn cầu trong trung và dài hạn. Các tiêu
Vietnamese,chuẩn mới và thậm chí là các biện pháp can thiệp của một số
Vietnamese,"chính phủ để định hướng hoạt động đầu tư, có thể ảnh hưởng đến xu hướng dịch chuyển FDI."
Vietnamese,Dòng vốn FDI tăng chậm và ngày càng tập trung giữa các quốc gia
Vietnamese,"có liên kết địa chính trị, đặc biệt là trong các lĩnh vực chiến lược. Dù vậy, theo đánh giá"
Vietnamese,"hiện tại của nhiều tổ chức tài chính trong và ngoài nước, triển vọng thu hút vốn FDI"
Vietnamese,năm nay của Việt Nam sẽ giữ nhịp độ tích cực
Vietnamese,"nhờ 3 yếu tố cốt lõi, gồm: (i) Vai trò quan trọng và ngày càng được củng cố trong chiến lược đa dạng hoá"
Vietnamese,chuỗi cung ứng của các nhà sản xuất đa quốc gia; (ii) tăng trưởng kinh tế của Việt Nam phục hồi tích
Vietnamese,"cực hơn trong năm nay; (iii) kinh tế vĩ mô ổn định. Ngoài ra, Việt Nam có triển vọng đầu tư vào nhiều"
Vietnamese,ngành công nghiệp tiên phong. Ngành công nghệ đang trải qua rất nhiều đổi
Vietnamese,"mới và số hóa. Tương tự, lĩnh vực năng lượng tái tạo đang"
Vietnamese,"thu hút sự quan tâm, với sự tập trung ngày càng tăng vào các nguồn năng lượng sạch như năng"
Vietnamese,"lượng mặt trời và năng lượng gió để tăng cường bền vững nguồn cung cấp điện cho Việt Nam. Đồng thời,"
Vietnamese,theo khuyến cáo của ngành Y tế; hướng dẫn người dân khi có dấu hiệu mắc bệnh phải đến ngay các cơ sở
Vietnamese,"y tế để được khám, tư vấn và điều trị kịp"
Vietnamese,thời; b) Tổ chức tiêm chủng vắc xin phòng bệnh bạch hầu cho các nhóm
Vietnamese,"đối tượng theo hướng dẫn của Bộ Y tế, nhất là tại"
Vietnamese,các địa bàn có lưu hành bệnh hoặc nơi có tỷ lệ tiêm chủng phòng
Vietnamese,bệnh bạch hầu thấp; c) Theo dõi chặt chẽ tình hình dịch bệnh trên
Vietnamese,"địa bàn; chủ động giám sát, phát hiện sớm các trường hợp mắc bệnh hoặc nghi ngờ mắc bệnh để xử lý"
Vietnamese,"triệt để ổ dịch; điều trị kịp thời và thực hiện tốt việc thu dung, cấp cứu, điều trị"
Vietnamese,"bệnh nhân; d) Bảo đảm hậu cần, thuốc, vắc xin, thiết bị, vật tư, hoá chất phục vụ công tác phòng, chống bệnh bạch"
Vietnamese,"hầu theo phương châm 04 tại chỗ; đ) Tăng cường thanh tra, kiểm tra việc thực hiện công tác"
Vietnamese,"phòng, chống bệnh bạch hầu và xử lý nghiêm các trường hợp vi phạm. 4."
Vietnamese,"Bộ trưởng Bộ Thông tin và Truyền thông, Tổng Giám đốc: Đài Truyền hình Việt Nam, Đài Tiếng nói Việt Nam,"
Vietnamese,Thông tấn xã Việt Nam và các cơ quan báo chí tăng cường tuyên truyền
Vietnamese,"các biện pháp phòng, chống bệnh bạch hầu; thông tin đầy đủ, trung thực về tình hình dịch bệnh. 5."
Vietnamese,Giao Phó Thủ tướng Chính phủ Lê Thành Long trực tiếp theo
Vietnamese,"dõi, chỉ đạo việc thực hiện Công điện này. Văn"
Vietnamese,"phòng Chính phủ theo chức năng, nhiệm vụ được giao, phối hợp với Bộ Y tế theo dõi, đôn"
Vietnamese,"đốc các Bộ, cơ quan liên quan và địa phương trong việc thực hiện Công điện này;"
Vietnamese,"kịp thời báo cáo Thủ tướng Chính phủ những vấn đề vướng mắc, khó khăn trong quá trình thực"
Vietnamese,"hoạt động của Đoàn đại biểu Quốc hội tại Kỳ họp, lắng nghe, tiếp thu ý kiến, kiến nghị của cử tri; đại diện"
Vietnamese,"lãnh đạo UBND TP. Cần Thơ giải trình, tiếp thu các ý kiến, kiến nghị của cử tri thuộc thẩm quyền giải"
Vietnamese,"quyết của địa phương. Tại Kỳ họp thứ bảy của Quốc hội khóa XV, công tác xây dựng, hoàn thiện thể chế được đẩy"
Vietnamese,"mạnh với nhiều dự án luật quan trọng được xem xét, thông"
Vietnamese,"qua, trong đó có 11 dự án luật được thông qua gồm: Luật Lưu trữ; Luật Tổ chức Tòa án nhân dân;"
Vietnamese,"Luật Bảo hiểm xã hội; Luật Công nghiệp quốc phòng, an ninh và động viên công nghiệp; Luật Đường bộ; Luật"
Vietnamese,"Trật tự, an toàn giao thông đường bộ; Luật Thủ đô; Luật sửa đổi,"
Vietnamese,"bổ sung một số điều của Luật Đấu giá tài sản; Luật sửa đổi, bổ sung một số điều của Luật Cảnh vệ; Luật Quản"
Vietnamese,"lý, sử dụng vũ khí, vật liệu nổ và công cụ hỗ trợ; Luật sửa đổi, bổ sung một số"
Vietnamese,"điều của Luật Đất đai, Luật Nhà ở, Luật Kinh doanh bất động sản, Luật Các tổ chức tín dụng. Quốc hội cũng đã xem"
Vietnamese,"xét, thông qua 21 nghị quyết, trong đó có 03 nghị quyết quy phạm pháp luật gồm: Nghị quyết về thí"
Vietnamese,"điểm bổ sung một số cơ chế, chính sách đặc thù phát triển tỉnh Nghệ"
Vietnamese,"An; Nghị quyết tổ chức chính quyền đô thị và thí điểm một số cơ chế,"
Vietnamese,chính sách đặc thù phát triển thành phố Đà Nẵng; Nghị quyết về
Vietnamese,"Chương trình xây dựng luật, pháp lệnh năm 2025, điều"
Vietnamese,"chỉnh Chương trình xây dựng luật, pháp lệnh năm 2024."
Vietnamese,Công tác kiện toàn nhân sự được thực hiện chặt chẽ theo đúng quy định
Vietnamese,"của Đảng, pháp luật của Nhà nước. Quốc hội đã thực hiện"
Vietnamese,"bầu Chủ tịch nước, Chủ tịch Quốc hội, Phó Chủ tịch Quốc hội, Ủy"
Vietnamese,"viên Ủy ban Thường vụ Quốc hội; phê chuẩn bổ nhiệm Phó Thủ tướng Chính phủ, Bộ trưởng Bộ"
Vietnamese,"- Lào đi vào chiều sâu, thực chất và hiệu quả hơn. Hai bên nhất trí cao về các biện"
Vietnamese,"pháp để tiếp tục triển khai hiệu quả các thỏa thuận cấp cao của hai Đảng, hai Nhà nước, góp phần tạo động lực"
Vietnamese,"mới, thúc đẩy mạnh mẽ hơn nữa quan hệ giữa hai nước trong thời gian tới; trong đó,"
Vietnamese,"tiếp tục quan tâm, chú trọng vào các lĩnh vực quốc"
Vietnamese,"phòng- an ninh, kinh tế - thương mại – đầu tư, giáo"
Vietnamese,"dục - đào tạo, văn hóa và giao lưu nhân dân. Trên cơ sở đó, hai bên nhất trí phối hợp"
Vietnamese,triển khai hiệu quả Thỏa thuận Chiến lược hợp tác Việt Nam - Lào giai đoạn 2021 -
Vietnamese,2030 và Hiệp định về hợp tác song phương Việt Nam - Lào giai đoạn 2021 –
Vietnamese,2025; đồng thời tiếp tục cùng nỗ lực xử lý dứt điểm vướng mắc để
Vietnamese,triển khai hiệu quả một số dự án hợp tác quan trọng giữa hai nước. Để gìn giữ
Vietnamese,"và phát huy truyền thống quý báu, mối quan hệ đặc biệt có một không hai giữa hai"
Vietnamese,"nước, các nhà lãnh đạo nhất trí hai bên cần đẩy mạnh hơn nữa tuyên truyền, giáo dục trong các"
Vietnamese,"tầng lớp nhân dân của hai nước, nhất là thế hệ trẻ; đồng thời, nhất trí đẩy mạnh hợp"
Vietnamese,"tác địa phương, nhất là giữa các tỉnh biên giới. Về hợp tác khu vực và quốc tế, hai bên cam kết tiếp tục phối"
Vietnamese,"hợp chặt chẽ, ủng hộ lẫn nhau tại các diễn đàn khu vực và quốc tế, nhất là trong khuôn khổ"
Vietnamese,"ASEAN, Liên Hợp Quốc và tiểu vùng sông Mekong. Lãnh đạo cấp cao của Lào đánh giá cao sự hỗ trợ của Việt"
Vietnamese,Nam trong quá trình chuẩn bị và tổ chức các hội nghị trong Năm
Vietnamese,"mốc thời gian khống chế, đặc biệt là công tác thi công nền đường và các công trình trên tuyến phải hoàn"
Vietnamese,"thành toàn bộ trước tháng 4/2026. Sau khi nghe các báo cáo, đại diện các nhà thầu"
Vietnamese,"trình bày các khó khăn, vướng mắc, Thủ tướng Phạm Minh Chính nhấn mạnh, tuyến đường Châu Đốc-Cần Thơ-Sóc Trăng"
Vietnamese,"có ý nghĩa rất quan trọng, là cao tốc trục Đông-Tây kết nối với cao tốc Bắc-Nam. Chúng ta đang phấn đấu,"
Vietnamese,quyết tâm trong nhiệm kỳ này hoàn thành khoảng 600 km cao tốc tại ĐBSCL và nhiệm kỳ sau
Vietnamese,"tiếp tục hoàn thành khoảng 600 km còn lại, để ĐBSCL có khoảng 1.200 km cao tốc theo quy hoạch. Cùng với hệ"
Vietnamese,"thống giao thông thủy nội địa, các cảng lớn, như Cái Cui, Ô Môn, Trần"
Vietnamese,"Đề, các sân bay, chúng ta sẽ cơ bản giải quyết"
Vietnamese,"vấn đề giao thông cho ĐBSCL. Thủ tướng nhấn mạnh, để thực hiện được mục"
Vietnamese,"tiêu này, các địa phương phải đồng hành, sát cánh cùng Trung ương với quyết tâm cao"
Vietnamese,"hơn, nỗ lực lớn hơn, hành động quyết liệt hơn nữa, có trọng tâm trọng điểm hơn nữa. Theo"
Vietnamese,"Thủ tướng, hệ thống giao thông cùng với các biện pháp đồng bộ khác sẽ tạo động lực mạnh mẽ phát triển ĐBSCL, đẩy nhanh"
Vietnamese,"đô thị hóa, công nghiệp hóa nông nghiệp, xây dựng ""phố trong làng"", tạo việc làm sinh kế, nâng cao đời sống"
Vietnamese,"vật chất và tinh thần của người dân, người dân không phải ly hương tìm việc làm, sinh kế. Thủ tướng ghi nhận, biểu"
Vietnamese,"dương nỗ lực, quyết tâm của các địa phương đã cùng các bộ, ngành trong khảo sát hướng tuyến, cân đối nguồn"
Vietnamese,vốn cho dự án cao tốc này trong điều kiện khó khăn sau đại dịch COVID-19; tích
